baseline_id,prompt_template,embedding_vector,semantic_payload_size
1,"Summarize the benefits of machine learning","[0.12,0.08,0.33,0.41,0.05,0.17,0.29,0.11]",150
2,"Explain quantum computing","[0.09,0.21,0.14,0.38,0.44,0.06,0.19,0.27]",180
3,"List key steps for incident response","[0.22,0.18,0.05,0.09,0.31,0.27,0.12,0.40]",165
4,"Compare REST vs GraphQL","[0.15,0.28,0.31,0.07,0.11,0.36,0.19,0.03]",140
5,"Explain the CAP theorem","[0.30,0.12,0.09,0.24,0.18,0.33,0.05,0.10]",160
6,"Describe how TLS works","[0.07,0.26,0.22,0.19,0.34,0.12,0.15,0.28]",170
7,"Summarize OWASP Top 10","[0.11,0.37,0.18,0.08,0.29,0.14,0.20,0.31]",175
8,"Explain vector databases","[0.23,0.10,0.27,0.35,0.04,0.21,0.16,0.29]",155
9,"Outline a data pipeline with dbt","[0.19,0.24,0.13,0.32,0.07,0.18,0.30,0.09]",160
10,"Explain attention in transformers","[0.16,0.05,0.29,0.41,0.22,0.08,0.14,0.33]",190
11,"Provide a concise Kubernetes overview","[0.20,0.17,0.09,0.28,0.31,0.12,0.25,0.06]",170
12,"Explain rate limiting strategies","[0.14,0.31,0.21,0.11,0.26,0.19,0.08,0.37]",145
13,"Describe caching patterns","[0.27,0.09,0.18,0.30,0.12,0.25,0.33,0.07]",150
14,"Explain eventual consistency","[0.10,0.22,0.35,0.16,0.28,0.06,0.19,0.31]",165
15,"Summarize an SRE error budget","[0.18,0.29,0.08,0.23,0.37,0.11,0.15,0.26]",155
16,"Explain prompt injection attacks","[0.33,0.12,0.24,0.07,0.19,0.30,0.16,0.05]",175
17,"Explain hallucinations in LLMs","[0.26,0.19,0.06,0.34,0.11,0.28,0.23,0.09]",180
18,"Write a secure password policy","[0.08,0.25,0.31,0.12,0.37,0.14,0.06,0.29]",150
19,"Summarize privacy principles (GDPR)","[0.21,0.16,0.10,0.27,0.32,0.18,0.04,0.24]",170
20,"Explain monitoring vs observability","[0.17,0.30,0.12,0.22,0.08,0.35,0.19,0.11]",155
21,"Describe A/B testing basics","[0.09,0.18,0.36,0.14,0.27,0.05,0.31,0.22]",140
22,"Explain causal inference at a high level","[0.24,0.07,0.20,0.33,0.15,0.29,0.10,0.18]",175
23,"Explain how to write unit tests","[0.12,0.27,0.19,0.06,0.35,0.22,0.13,0.30]",150
24,"Summarize advantages of static sites","[0.28,0.11,0.23,0.18,0.09,0.34,0.16,0.07]",135
25,"Explain SSE vs WebSockets","[0.15,0.32,0.07,0.26,0.21,0.10,0.38,0.14]",145
