kpi_category,kpi_name,definition,measurement_formula,current_value_aug_2026,target_benchmark,status,significance_interpretation
North Star,Weekly Observing Users (WOU),Unique users with >=1 monitored LLM session per ISO week,"COUNTD(user_id) of monitoring_sessions per week, averaged per month",231.7 (Aug 2026),>= 350 by Q4-2026,Attention,"Captures the core value loop: a user only counts if they actually observed their LLMs through monitr-ai. One guardrail metric aligning acquisition, activation and retention."
Acquisition,Visitor -> Signup Conversion Rate,Share of unique marketing-site visitors who create an account,signups / unique visitors * 100 (per period),6.95% overall; Aug 2026: 6.87%,6-8%,On track,Measures top-of-funnel message-market fit of the landing page.
Acquisition,Signup -> Key Connection Rate,Share of new accounts that connect at least one LLM provider API key,users with >=1 row in api_key_configs / signups * 100,66.9%,>= 65%,On track,The biggest intentional-friction step in onboarding (API key entry). Gates every downstream metric.
Growth,Invite & Referral Rate,Share of signups arriving via invite codes or the referral channel,(invite_code + referral-channel signups) / total signups * 100,35.4%,>= 20% pre-launch,On track,Pre-launch growth is pure word-of-mouth; this measures the health of the viral loop while there is no paid marketing scale.
Activation,Activation Rate (Aha! within 7 days),Share of signups who run their first monitoring session within 7 days of connecting a key,users with activation_date - first_config_date <= 7d / signups * 100,56.5% overall; Aug 2026: 56.4%,>= 45%,On track,Activation = first moment of realized value (live token efficiency / CRI). Strongest predictor of W4 retention.
Activation,Median Time-to-Activate (TTA),Median days from account creation to first monitoring session,median(days_to_activate) over activated users,1 days,<= 2 days,On track,Every extra day before first value multiplies abandonment risk.
Activation,Onboarding Completion Rate,Share of signups finishing >=4 of 5 onboarding steps,AVG(onboarding_completed_flag),75.3%,>= 80%,On track,Users who finish onboarding connect keys at ~1.2x the rate; incomplete onboarding predicts early inactivity.
Engagement,Monthly Active Users (MAU),Unique users with >=1 session in the month,COUNTD(user_id) per month from monitoring_sessions,429 (Aug 2026),grow 15% MoM,On track,Core reach metric of the product's recurring value.
Engagement,Stickiness (DAU/MAU),Average daily actives as share of monthly actives,avg(DAU) / MAU * 100,20.1%,>= 20% for devtools,On track,Observability is episodic (incident-driven); alerts and digests convert reactive use into habit.
Engagement,Sessions per Active User,Average monitored sessions per active user per month,COUNT(session_id) / COUNTD(user_id) per month,7.45,>= 4,On track,Depth of usage distinguishes power users from drive-by evaluators.
Engagement,Power User Share,Share of monthly active users with >=8 sessions in the month,COUNTD(users with >=8 sessions in month) / MAU * 100,47.1% (Aug 2026); 23.7% of all activated are power-grade,>= 30%,Attention,Power users anchor retention and drive most of the monitored token volume; growing this share is the key pre-launch lever.
Retention,W4 Retention of Activated Users,Share of a signup cohort still active in week 4 after activation,"cohort users with >=1 session in activation+[28,35)d / cohort size",48.4% (Aug 2026 cohorts),>= 35%,On track,The PMF litmus test; flat curves after week 4 signal durable habit.
Retention,Next-Month Return Rate,Share of users active this month who are also active next month,"COUNTD(intersect(active_m, active_m+1)) / COUNTD(active_m) * 100",77.4%,>= 60%,On track,"Pre-launch 'churn' is inactivity, not cancellation - this is the direct measure of it."
Retention,30-Day Inactivity Rate,Share of activated users with no session in the last 30 days,users with days_since_last_active > 30 / activated users * 100,36.3%,<= 35%,On track,Substitute for churn in a pre-launch product; spikes usually trace to onboarding drop-offs or semester breaks (campus segment).
Product Value,Avg Cognitive Waste Index,Proprietary 0-1 score: semantic drift + token inefficiency + quality loss (lower is better),AVG(cognitive_waste_index) over sessions,0.429,<= 0.25 and falling,On track,The metric users come to monitr-ai to reduce; a falling platform-wide average evidences real delivered value.
Product Value,Avg Efficiency Ratio,Useful output tokens / total tokens exchanged (higher is better),AVG(efficiency_ratio) over sessions,0.774,>= 0.80,On track,Translates directly to the monitored LLM spend that monitr-ai optimizes.
Product Safety,Avg Cognitive Risk Index (CRI),Weighted risk across injection/leakage/hallucination/bias/anomaly/tool-misuse,AVG(cri_avg) over sessions; level bands min/low/mod/high/critical,0.205,<= 0.25,On track,Headline trust-safety KPI; drives zero-trust enforcement actions.
Product Safety,Security Events per 100 Sessions,"Rate of security detections (injection, PII, leakage) normalized by usage",SUM(security_events_count) / COUNT(sessions) * 100,89.9,stable as volume grows,Watch,Rising with adversarial-test adoption is healthy; rising in production traffic signals attacks.
Satisfaction,NPS of Activated Users,Net Promoter Score surveyed ~7 days after activation,(percent promoters(9-10) - percent detractors(0-6)) * 100,28.4,>= 40,On track,Predicts invite/referral growth - the only growth engine that exists pre-launch.
